Garanti BBVA;Hesap Hareketleri;;;
Hesap Sahibi;DENİZ YILMAZ;;;
IBAN;TR62 00062000 **** **** 3456;;;
Dönem;01 Mayıs 2026 - 31 Mayıs 2026;;;
İşlem Tarihi;Açıklama;Etiket;Tutar;Bakiye
01.05.2026;MAAŞ ÖDEMESİ - AKÇA TEKNOLOJİ A.Ş.;Gelen Transfer;52.000,00;88.039,35
02.05.2026;MİGROS MMM SARIYER;Kart Harcaması;-1.457,70;86.581,65
03.05.2026;KİRA ÖDEMESİ - EV SAHİBİ;Havale/EFT;-18.500,00;68.081,65
03.05.2026;STARBUCKS COFFEE LEVENT;Kart Harcaması;-219,88;67.861,77
04.05.2026;SİTE AİDATI - YEŞİLVADİ KONUTLARI;Otomatik Ödeme;-2.500,00;65.361,77
04.05.2026;İSTANBULKART DOLUM;Kart Harcaması;-435,04;64.926,73
05.05.2026;KREDİ ÖDEMESİ;İhtiyaç Kredisi Taksidi;-4.850,00;60.076,73
06.05.2026;YEMEKSEPETİ ONLİNE SİPARİŞ;Kart Harcaması;-434,88;59.641,85
06.05.2026;TRENDYOL ALIŞVERİŞ;Kart Harcaması;-732,11;58.909,74
07.05.2026;SPOTIFY AB;Kart Harcaması;-79,99;58.829,75
07.05.2026;OPET PETROLCÜLÜK MASLAK;Kart Harcaması;-1.087,30;57.742,45
08.05.2026;BİM BİRLEŞİK MAĞAZALAR;Kart Harcaması;-840,50;56.901,95
09.05.2026;NETFLIX.COM;Kart Harcaması;-229,99;56.671,96
09.05.2026;KAHVE DÜNYASI MASLAK;Kart Harcaması;-144,04;56.527,92
10.05.2026;BEDAŞ ELEKTRİK FATURASI;Otomatik Ödeme;-1.098,60;55.429,32
10.05.2026;CİNEMAXIMUM SİNEMA;Kart Harcaması;-408,55;55.020,77
11.05.2026;İSKİ SU FATURASI;Otomatik Ödeme;-415,90;54.604,87
11.05.2026;UBER TRIP HELP.UBER.COM;Kart Harcaması;-273,34;54.331,53
12.05.2026;İGDAŞ DOĞALGAZ FATURASI;Otomatik Ödeme;-612,40;53.719,13
12.05.2026;SİMİT SARAYI ETİLER;Kart Harcaması;-113,11;53.606,02
13.05.2026;TÜRK TELEKOM İNTERNET;Otomatik Ödeme;-549,90;53.056,12
13.05.2026;ECZANE ŞİFA SARIYER;Kart Harcaması;-379,02;52.677,10
14.05.2026;TURKCELL FATURA ÖDEMESİ;Otomatik Ödeme;-729,90;51.947,20
14.05.2026;HEPSİBURADA SİPARİŞ;Kart Harcaması;-448,15;51.499,05
15.05.2026;KREDİ KARTI ÖDEMESİ - BONUS PLATINUM;Kredi Kartı Ödemesi;-4.800,00;46.699,05
15.05.2026;A101 YENİ MAĞAZACILIK;Kart Harcaması;-752,32;45.946,73
16.05.2026;GETİR YEMEK SİPARİŞ;Kart Harcaması;-347,81;45.598,92
17.05.2026;İSTANBULKART DOLUM;Kart Harcaması;-397,40;45.201,52
17.05.2026;UDEMY ONLİNE KURS;Kart Harcaması;-271,71;44.929,81
18.05.2026;GOOGLE *YOUTUBE PREMIUM;Kart Harcaması;-109,99;44.819,82
18.05.2026;TEKNOSA ELEKTRONİK;Kart Harcaması;-2.290,00;42.529,82
18.05.2026;MİDPOINT RESTORAN ETİLER;Kart Harcaması;-856,95;41.672,87
19.05.2026;CARREFOURSA MASLAK;Kart Harcaması;-1.140,30;40.532,57
20.05.2026;VİRMAN - BİRİKİM HESABI;Virman;-1.500,00;39.032,57
20.05.2026;LC WAIKIKI MAĞAZACILIK;Kart Harcaması;-811,21;38.221,36
21.05.2026;APPLE.COM/BILL ICLOUD+;Kart Harcaması;-74,99;38.146,37
21.05.2026;SHELL & TURCAS SARIYER;Kart Harcaması;-886,31;37.260,06
22.05.2026;BURGER KING MASLAK;Kart Harcaması;-230,20;37.029,86
23.05.2026;BİTAKSİ ULAŞIM;Kart Harcaması;-140,39;36.889,47
23.05.2026;STEAM PURCHASE;Kart Harcaması;-183,50;36.705,97
24.05.2026;MİGROS MMM SARIYER;Kart Harcaması;-1.238,88;35.467,09
25.05.2026;YEMEKSEPETİ ONLİNE SİPARİŞ;Kart Harcaması;-417,88;35.049,21
26.05.2026;İSPARK OTOPARK;Kart Harcaması;-143,09;34.906,12
27.05.2026;PELİT PASTANESİ;Kart Harcaması;-184,00;34.722,12
28.05.2026;VADELİ HESAP FAİZ GETİRİSİ;Faiz Tahakkuku;334,20;35.056,32
29.05.2026;GETİR MARKET SİPARİŞ;Kart Harcaması;-345,22;34.711,10
