Garanti BBVA;Hesap Hareketleri;;;
Hesap Sahibi;DENİZ YILMAZ;;;
IBAN;TR62 00062000 **** **** 3456;;;
Dönem;01 Nisan 2026 - 30 Nisan 2026;;;
İşlem Tarihi;Açıklama;Etiket;Tutar;Bakiye
01.04.2026;MAAŞ ÖDEMESİ - AKÇA TEKNOLOJİ A.Ş.;Gelen Transfer;52.000,00;88.787,31
02.04.2026;MİGROS MMM SARIYER;Kart Harcaması;-1.445,12;87.342,19
03.04.2026;KİRA ÖDEMESİ - EV SAHİBİ;Havale/EFT;-18.500,00;68.842,19
03.04.2026;STARBUCKS COFFEE LEVENT;Kart Harcaması;-198,27;68.643,92
04.04.2026;SİTE AİDATI - YEŞİLVADİ KONUTLARI;Otomatik Ödeme;-2.500,00;66.143,92
04.04.2026;İSTANBULKART DOLUM;Kart Harcaması;-406,07;65.737,85
05.04.2026;KREDİ ÖDEMESİ;İhtiyaç Kredisi Taksidi;-4.850,00;60.887,85
06.04.2026;YEMEKSEPETİ ONLİNE SİPARİŞ;Kart Harcaması;-456,69;60.431,16
06.04.2026;TRENDYOL ALIŞVERİŞ;Kart Harcaması;-753,27;59.677,89
07.04.2026;SPOTIFY AB;Kart Harcaması;-79,99;59.597,90
07.04.2026;OPET PETROLCÜLÜK MASLAK;Kart Harcaması;-1.042,50;58.555,40
08.04.2026;BİM BİRLEŞİK MAĞAZALAR;Kart Harcaması;-869,54;57.685,86
09.04.2026;NETFLIX.COM;Kart Harcaması;-229,99;57.455,87
09.04.2026;KAHVE DÜNYASI MASLAK;Kart Harcaması;-156,81;57.299,06
10.04.2026;BEDAŞ ELEKTRİK FATURASI;Otomatik Ödeme;-1.265,30;56.033,76
10.04.2026;CİNEMAXIMUM SİNEMA;Kart Harcaması;-386,73;55.647,03
11.04.2026;İSKİ SU FATURASI;Otomatik Ödeme;-401,20;55.245,83
11.04.2026;UBER TRIP HELP.UBER.COM;Kart Harcaması;-283,58;54.962,25
12.04.2026;İGDAŞ DOĞALGAZ FATURASI;Otomatik Ödeme;-1.140,75;53.821,50
12.04.2026;SİMİT SARAYI ETİLER;Kart Harcaması;-108,58;53.712,92
13.04.2026;TÜRK TELEKOM İNTERNET;Otomatik Ödeme;-549,90;53.163,02
13.04.2026;ECZANE ŞİFA SARIYER;Kart Harcaması;-388,33;52.774,69
14.04.2026;TURKCELL FATURA ÖDEMESİ;Otomatik Ödeme;-729,90;52.044,79
14.04.2026;HEPSİBURADA SİPARİŞ;Kart Harcaması;-441,69;51.603,10
15.04.2026;KREDİ KARTI ÖDEMESİ - BONUS PLATINUM;Kredi Kartı Ödemesi;-4.800,00;46.803,10
15.04.2026;A101 YENİ MAĞAZACILIK;Kart Harcaması;-700,91;46.102,19
16.04.2026;GETİR YEMEK SİPARİŞ;Kart Harcaması;-360,51;45.741,68
17.04.2026;İSTANBULKART DOLUM;Kart Harcaması;-385,44;45.356,24
17.04.2026;UDEMY ONLİNE KURS;Kart Harcaması;-264,15;45.092,09
18.04.2026;GOOGLE *YOUTUBE PREMIUM;Kart Harcaması;-109,99;44.982,10
18.04.2026;MİDPOINT RESTORAN ETİLER;Kart Harcaması;-813,53;44.168,57
19.04.2026;CARREFOURSA MASLAK;Kart Harcaması;-1.086,02;43.082,55
20.04.2026;VİRMAN - BİRİKİM HESABI;Virman;-1.500,00;41.582,55
20.04.2026;LC WAIKIKI MAĞAZACILIK;Kart Harcaması;-880,42;40.702,13
21.04.2026;APPLE.COM/BILL ICLOUD+;Kart Harcaması;-74,99;40.627,14
21.04.2026;ÖZEL DENTA DİŞ KLİNİĞİ;Kart Harcaması;-1.650,00;38.977,14
21.04.2026;SHELL & TURCAS SARIYER;Kart Harcaması;-929,18;38.047,96
22.04.2026;İADE - ONLİNE SİPARİŞ;Gelen Transfer;549,90;38.597,86
22.04.2026;BURGER KING MASLAK;Kart Harcaması;-238,00;38.359,86
23.04.2026;BİTAKSİ ULAŞIM;Kart Harcaması;-132,51;38.227,35
23.04.2026;STEAM PURCHASE;Kart Harcaması;-194,97;38.032,38
24.04.2026;MİGROS MMM SARIYER;Kart Harcaması;-1.284,12;36.748,26
25.04.2026;YEMEKSEPETİ ONLİNE SİPARİŞ;Kart Harcaması;-395,97;36.352,29
26.04.2026;İSPARK OTOPARK;Kart Harcaması;-143,39;36.208,90
27.04.2026;PELİT PASTANESİ;Kart Harcaması;-163,43;36.045,47
28.04.2026;VADELİ HESAP FAİZ GETİRİSİ;Faiz Tahakkuku;326,70;36.372,17
29.04.2026;GETİR MARKET SİPARİŞ;Kart Harcaması;-332,82;36.039,35
